HCC_N02;HCC_N04;CodeGroupeComptes;MontantTotal;Nombre_Facture;MontantRegularisation;TauxRegularisation;EcartMoyenRegul
REGION RHIN RHONE;S. AUVERGNE;Z002;5948.5521349010423;2814;861.35236298203563;14.480033854429095;588.01587044110011
REGION RHIN RHONE;S. LORRAINE NORD;Z002;6570.9986074348217;1977;656.80249996882731;9.9954746486429258;383.46600742789173
REGION RHIN RHONE;S. ALSACE;Z002;4717.9380337538678;1809;616.41991890430472;13.065451781990554;343.08342636336914
REGION RHIN RHONE;S. VAL DE SAONE;Z002;8402.5896497019476;4060;604.30359876537284;7.1918732671517329;330.96710622443726
REGION RHIN RHONE;S. AUBE YONNE;Z002;23070.093413316568;1539;462.39455076122283;2.0043028975960646;189.05805822028725
REGION RHIN RHONE;S. LOIRE;Z002;4037.4018273863207;1918;367.4354306154251;9.1007892284353211;94.098938074489524
REGION RHIN RHONE;S. HAUTE MARNE;Z002;2923.3183676013959;876;350.20480975723285;11.979701343462581;76.868317216297271
REGION RHIN RHONE;S. MARNE TRAITEMENT;Z002;5270.7923021638408;1453;242.54799131011964;4.6017368434446828;-30.788501230815939
REGION RHIN RHONE;S. FRANCHE-COMTE;Z002;5407.2909055421414;2217;194.54253002119074;3.5977818360354274;-78.793962519744838
REGION RHIN RHONE;S. DROME ALPES ARDECHE;Z003;229.50156639099131;60;159.59847687911986;69.541345355011316;-113.73801566181572
REGION RHIN RHONE;T. ALSACE LORRAINE;Z002;187.94773046493538;75;124.71637048339844;66.356944122113916;-148.62012205753715
REGION RHIN RHONE;DIVERS;Z002;986.66562073326111;126;68.081969688415526;6.9002069452687529;-205.25452285252004
REGION RHIN RHONE;DIRECTION REGIONALE;Z002;860.61176859569491;359;60.019260104179388;6.974022700400198;-213.3172324367562
REGION RHIN RHONE;S. ALSACE;Z003;441.02639837646478;32;58.856529174804685;13.345352883970483;-214.4799633661309
REGION RHIN RHONE;S. LORRAINE SUD TRAITEMENT;Z002;2598.99420547104;676;55.200749988555913;2.1239273974661041;-218.13574255237967
REGION RHIN RHONE;S. AUVERGNE;Z003;1535.2668125152607;37;51.167508468627929;3.3328088675869374;-222.16898407230764
REGION RHIN RHONE;S. RHONE NORD ISERE;Z003;2136.1063527584074;51;37.310898193359385;1.7466779285206888;-236.0255943475762
REGION RHIN RHONE;T. LOIRE AUV NIEVRE;Z002;22.655129913330086;25;17.133829910278326;75.628919259460631;-256.20266263065724
REGION RHIN RHONE;T. BOURGOGNE F-C;Z002;19.452409974098206;42;12.610379974365234;64.826826039326463;-260.72611256657035
REGION RHIN RHONE;S. FRANCHE-COMTE;Z003;202.71469157600404;48;11.699640136718742;5.7714811125725349;-261.63685240421682
REGION RHIN RHONE;S. LOIRE;Z003;155.33818072509771;26;9.9947299194335919;6.4341746972827529;-263.34176262150197
REGION RHIN RHONE;S. AUBE YONNE;Z003;6.1216000976562608;2;6.1216000976562608;100.0;-267.21489244327933
REGION RHIN RHONE;T. RHONE-ALPES;Z002;70.477090417861945;73;4.651;6.5993076224117724;-268.68549254093557
REGION RHIN RHONE;T. CHAMPAGNE-ARDENNE;Z002;17.83527006149292;66;1.2349999999999999;6.9244816352201779;-272.10149254093557
REGION RHIN RHONE;S. VAL DE SAONE;Z005;1.9391599884033219;3;1.00079998779297;51.609975132429128;-272.33569255314262
REGION RHIN RHONE;S. LORRAINE SUD COLLECTE;Z003;0.98364997482299854;4;0.77694998168945406;78.986428259631808;-272.55954255924615
REGION RHIN RHONE;S. SOVVAD;Z002;2.085;1;0.0;0.0;-273.33649254093558
REGION RHIN RHONE;S. VAL DE SAONE;Z003;283.76416928100588;37;0.0;0.0;-273.33649254093558
REGION RHIN RHONE;S. LORRAINE NORD;Z003;47.286400238037118;13;0.0;0.0;-273.33649254093558
REGION RHIN RHONE;S. HAUTE MARNE;Z003;3.4000000000000004;3;0.0;0.0;-273.33649254093558
REGION RHIN RHONE;T. ALSACE LORRAINE;Z003;0.48;1;0.0;0.0;-273.33649254093558
REGION RHIN RHONE;S. DROME ALPES ARDECHE;Z005;0.14061000061035198;1;0.0;0.0;-273.33649254093558
REGION RHIN RHONE;S. RHONE NORD ISERE;Z005;0.2365;1;0.0;0.0;-273.33649254093558
REGION RHIN RHONE;S. MARNE TRAITEMENT;Z005;0.22;2;0.0;0.0;-273.33649254093558
REGION RHIN RHONE;S. AUBE YONNE;Z005;2.02356005859375;1;0.0;0.0;-273.33649254093558
