IdService;IdSecteur;Region;Territoire;Secteur;IdCop;AnneeService;MoisService;SemaineService;JourService;DateService;CodeVehicule;LibelleVehicule;CodeTypeVehicule;LibTypeVehicule;CodeService;LibelleService;CodeSecteur;NumeroTour;LibelleAgence;CodeActivite;ContratLibelle;NbVidage;TempsCollecteHorsInterruption;TempsPause;TempsHLPHorsInterruption;TempsTotalHorsInterruption;KmCollecte;KmHLP;KmTotal;CodeDechet;Tonnage;TonnageHeureCollecte;DATEDEBUT
936319234;7918234;COU;T. LOIRE ATLANTIQUE VENDEE;S. NANTES COLLECTIVITES;8514;2019;1;5;JEUDI;31/01/2019;R10723;R10723;BOM2511;a-BOM  bicompartimentée >=19m3 avec  LC GO;069A;069A CC Derval BC Je Paire;CC_Derval;1;Nantes Services Publics;CSPAP; Communauté de Communes de Derval;1;4,82;0,75;0,95;5,77;29;10;39;PC+PL+ME;0,8;0,17;31/01/2019 05:23
1051814234;7918234;COU;T. LOIRE ATLANTIQUE VENDEE;S. NANTES COLLECTIVITES;8514;2020;7;28;MARDI;07/07/2020;R10844;R10844  BICOMP 26T;BOM2518;BOM  bicompartimentée >=19m3 avec LC GO + AD Blue;069A;069A CC Derval BC;CC_Derval;1;Nantes Services Publics;CSPAP; Communauté de Communes de Derval;1;6,92;0,33;1,25;8,17;101;33;134;PC+PL+ME;1,3;0,19;07/07/2020 05:31
1018670234;7918234;COU;T. LOIRE ATLANTIQUE VENDEE;S. NANTES COLLECTIVITES;8514;2020;1;3;MARDI;14/01/2020;R10838;R10838  Bi comp 26T;BOM2511;a-BOM  bicompartimentée >=19m3 avec  LC GO;069A;069A CC Derval BC;CC_Derval;1;Nantes Services Publics;CSPAP; Communauté de Communes de Derval;1;7,67;0,33;1,25;8,92;28;120;148;OM;4,52;0,59;14/01/2020 05:45
1022498234;7918234;COU;T. LOIRE ATLANTIQUE VENDEE;S. NANTES COLLECTIVITES;8514;2020;1;5;LUNDI;27/01/2020;R10704;R10704  Bi Comp;BOM2511;a-BOM  bicompartimentée >=19m3 avec  LC GO;069A;069A CC Derval BC;CC_Derval;1;Nantes Services Publics;CSPAP; Communauté de Communes de Derval;1;5,8;0,33;3,52;9,32;86;31;117;PC+PL+ME;1,16;0,2;27/01/2020 07:57
1062539234;7918234;COU;T. LOIRE ATLANTIQUE VENDEE;S. NANTES COLLECTIVITES;8514;2020;9;37;MARDI;08/09/2020;R10844;R10844  BICOMP 26T;BOM2518;BOM  bicompartimentée >=19m3 avec LC GO + AD Blue;069A;069A CC Derval BC;CC_Derval;1;Nantes Services Publics;CSPAP; Communauté de Communes de Derval;1;7,37;0,57;1,15;8,52;132;12;144;OM;4,02;0,55;08/09/2020 05:42
1081038234;7918234;COU;T. LOIRE ATLANTIQUE VENDEE;S. NANTES COLLECTIVITES;8514;2020;10;44;MERCREDI;28/10/2020;R10704;R10704  Bi Comp;BOM2511;a-BOM  bicompartimentée >=19m3 avec  LC GO;069A;069A CC Derval BC;CC_Derval;1;Nantes Services Publics;CSPAP; Communauté de Communes de Derval;1;5,88;0,33;1,5;7,38;80;25;105;OM;4,36;0,74;28/10/2020 05:36
872674234;7918234;COU;T. LOIRE ATLANTIQUE VENDEE;S. NANTES COLLECTIVITES;8514;2018;4;16;JEUDI;19/04/2018;R10844;R10844  BICOMP 26T;BOM2518;BOM  bicompartimentée >=19m3 avec LC GO + AD Blue;069A;069A CC Derval BC Je Paire;CC_Derval;1;Nantes Services Publics;CSPAP; Communauté de Communes de Derval;1;8;0,37;1,28;9,28;105;6;111;OM;4,98;0,62;19/04/2018 05:30
1079195234;7918234;COU;T. LOIRE ATLANTIQUE VENDEE;S. NANTES COLLECTIVITES;8514;2020;10;42;MERCREDI;14/10/2020;R10704;R10704  Bi Comp;BOM2511;a-BOM  bicompartimentée >=19m3 avec  LC GO;069A;069A CC Derval BC;CC_Derval;1;Nantes Services Publics;CSPAP; Communauté de Communes de Derval;1;4,9;0,33;1,65;6,55;76;22;98;PC+PL+ME;0,96;0,2;14/10/2020 05:36
1085201234;7918234;COU;T. LOIRE ATLANTIQUE VENDEE;S. NANTES COLLECTIVITES;8514;2020;11;48;MARDI;24/11/2020;R10844;R10844  BICOMP 26T;BOM2518;BOM  bicompartimentée >=19m3 avec LC GO + AD Blue;069A;069A CC Derval BC;CC_Derval;1;Nantes Services Publics;CSPAP; Communauté de Communes de Derval;1;6,62;0,37;1,13;7,75;121;24;145;PC+PL+ME;1,34;0,2;24/11/2020 05:32
1045856234;7918234;COU;T. LOIRE ATLANTIQUE VENDEE;S. NANTES COLLECTIVITES;8514;2020;6;24;MERCREDI;10/06/2020;R10844;R10844  BICOMP 26T;BOM2518;BOM  bicompartimentée >=19m3 avec LC GO + AD Blue;069A;069A CC Derval BC;CC_Derval;1;Nantes Services Publics;CSPAP; Communauté de Communes de Derval;1;5,32;0,33;0,98;6,3;75;20;95;PC+PL+ME;1,2;0,23;10/06/2020 04:59
